Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
Cybersecurity Solution,4,302,20,4,Agile,Mixed,High
Web Application,8,321,24,9,Waterfall,Senior,Medium
Cloud Migration,6,173,22,6,Agile,Senior,Medium
CRM System,5,18,32,4,Waterfall,Junior,High
AI / ML Project,11,164,22,7,Hybrid,Mixed,High
CRM System,3,81,19,10,Scrum,Mixed,Medium
ERP Implementation,6,1110,29,4,Waterfall,Mixed,High
CRM System,4,60,5,15,Waterfall,Junior,High
E-Commerce Platform,7,116,7,5,Scrum,Junior,Medium
AI / ML Project,6,115,36,8,Waterfall,Junior,High
ERP Implementation,7,170,4,4,Kanban,Mixed,Medium
Mobile App,5,122,28,3,Agile,Junior,Medium
Cybersecurity Solution,8,540,32,6,Scrum,Senior,Medium
AI / ML Project,18,204,23,10,Kanban,Junior,High
Cybersecurity Solution,4,376,30,5,Scrum,Mixed,Medium
CRM System,14,402,3,6,Hybrid,Senior,Medium
E-Commerce Platform,8,318,15,9,Hybrid,Senior,Medium
AI / ML Project,6,358,6,6,Waterfall,Senior,Medium
Mobile App,12,252,27,7,Agile,Senior,Medium
Data Analytics Platform,6,442,11,1,Hybrid,Senior,Low
Mobile App,5,184,36,7,Agile,Junior,Medium
ERP Implementation,29,108,10,7,Kanban,Junior,High
ERP Implementation,7,113,20,9,Waterfall,Mixed,High
CRM System,9,631,7,7,Kanban,Mixed,Medium
Cloud Migration,12,601,12,11,Waterfall,Junior,High
Cloud Migration,8,105,26,8,Hybrid,Senior,Medium
CRM System,11,332,35,7,Waterfall,Senior,Medium
Data Analytics Platform,6,24,17,4,Hybrid,Senior,Low
AI / ML Project,4,126,24,3,Agile,Mixed,Medium
Mobile App,12,140,23,4,Kanban,Junior,Medium
ERP Implementation,5,508,32,6,Hybrid,Junior,High
Mobile App,3,239,32,5,Waterfall,Junior,High
Cloud Migration,4,128,31,5,Kanban,Senior,Medium
AI / ML Project,8,410,15,2,Hybrid,Mixed,Medium
Mobile App,8,150,13,9,Scrum,Senior,Low
Cloud Migration,4,187,26,8,Scrum,Mixed,Medium
Cybersecurity Solution,15,14,16,7,Kanban,Mixed,Medium
CRM System,3,429,5,5,Waterfall,Senior,Medium
Web Application,5,240,13,4,Scrum,Senior,Low
IoT Development,5,278,13,8,Kanban,Mixed,Medium
Web Application,6,104,21,5,Waterfall,Junior,High
AI / ML Project,12,195,30,4,Kanban,Junior,High
Cloud Migration,7,88,8,6,Kanban,Junior,Medium
ERP Implementation,12,292,21,7,Scrum,Senior,Medium
CRM System,6,60,2,11,Hybrid,Junior,Medium
AI / ML Project,26,326,19,4,Scrum,Senior,High
CRM System,6,97,4,4,Waterfall,Mixed,Medium
IoT Development,6,318,3,9,Scrum,Mixed,Medium
IoT Development,2,262,26,6,Waterfall,Junior,High
IoT Development,7,169,21,6,Scrum,Senior,Medium
CRM System,5,43,21,4,Hybrid,Senior,Medium
E-Commerce Platform,2,65,35,5,Kanban,Junior,High
CRM System,14,132,29,11,Waterfall,Mixed,High
Cloud Migration,6,79,34,2,Hybrid,Junior,High
E-Commerce Platform,7,244,1,7,Kanban,Junior,Medium
Cybersecurity Solution,3,51,17,6,Scrum,Mixed,Medium
Web Application,12,67,6,6,Agile,Senior,Low
IoT Development,9,37,14,5,Kanban,Mixed,Medium
CRM System,10,49,35,6,Waterfall,Junior,High
Cloud Migration,6,707,14,4,Kanban,Junior,High
Cloud Migration,20,100,32,12,Scrum,Senior,Medium
CRM System,12,889,29,4,Waterfall,Junior,High
AI / ML Project,23,103,29,8,Agile,Senior,High
ERP Implementation,5,136,19,8,Hybrid,Senior,Medium
Web Application,8,470,9,5,Kanban,Mixed,Medium
Mobile App,4,113,25,6,Agile,Junior,Medium
CRM System,6,143,21,7,Waterfall,Senior,Medium
ERP Implementation,2,26,26,7,Scrum,Senior,Medium
Cloud Migration,3,1321,8,7,Kanban,Senior,Medium
Cloud Migration,5,134,29,9,Scrum,Mixed,Medium
CRM System,8,82,27,6,Agile,Mixed,Medium
Cybersecurity Solution,14,30,34,6,Agile,Mixed,Medium
Data Analytics Platform,6,294,20,7,Kanban,Senior,Medium
ERP Implementation,3,255,21,7,Waterfall,Mixed,High
E-Commerce Platform,15,342,21,3,Hybrid,Senior,Medium
Cloud Migration,18,269,2,4,Waterfall,Mixed,High
Cloud Migration,26,274,33,4,Kanban,Senior,Medium
CRM System,8,69,26,3,Agile,Mixed,Medium
Cybersecurity Solution,9,219,2,6,Scrum,Mixed,Medium
IoT Development,18,639,24,6,Kanban,Senior,High
E-Commerce Platform,15,35,36,6,Scrum,Mixed,Medium
Data Analytics Platform,4,89,12,5,Agile,Senior,Low
E-Commerce Platform,14,182,27,4,Agile,Mixed,Medium
Web Application,11,46,23,12,Hybrid,Senior,Medium
CRM System,3,72,16,9,Scrum,Mixed,Medium
ERP Implementation,9,180,12,7,Scrum,Junior,Medium
ERP Implementation,12,138,22,5,Kanban,Senior,Medium
IoT Development,5,271,12,2,Waterfall,Mixed,High
Mobile App,5,153,19,9,Kanban,Mixed,Medium
Web Application,7,254,12,3,Agile,Mixed,Low
ERP Implementation,3,295,4,6,Waterfall,Mixed,High
Cloud Migration,8,137,29,7,Hybrid,Senior,Medium
E-Commerce Platform,3,122,23,4,Waterfall,Mixed,High
Cybersecurity Solution,5,60,27,4,Scrum,Mixed,Medium
CRM System,4,159,30,3,Kanban,Junior,Medium
AI / ML Project,5,888,32,4,Waterfall,Junior,High
Cloud Migration,6,75,26,7,Agile,Senior,Medium
Mobile App,4,51,26,4,Scrum,Junior,Medium
Mobile App,7,274,33,5,Scrum,Junior,Medium
Cloud Migration,5,26,2,6,Waterfall,Junior,Medium
IoT Development,7,198,34,11,Waterfall,Mixed,High
IoT Development,8,523,32,4,Hybrid,Mixed,High
ERP Implementation,4,68,35,4,Agile,Senior,Medium
E-Commerce Platform,14,150,21,4,Kanban,Senior,Medium
ERP Implementation,5,256,22,6,Agile,Junior,High
Mobile App,4,33,23,6,Kanban,Mixed,Medium
AI / ML Project,2,419,27,6,Agile,Mixed,High
AI / ML Project,26,238,30,4,Agile,Junior,High
CRM System,8,110,12,5,Hybrid,Mixed,Medium
Cloud Migration,16,94,1,9,Waterfall,Mixed,High
Cloud Migration,16,171,34,7,Kanban,Junior,High
Mobile App,29,31,21,7,Scrum,Mixed,Medium
AI / ML Project,8,135,23,4,Hybrid,Senior,Medium
E-Commerce Platform,7,154,27,7,Hybrid,Mixed,Medium
Cloud Migration,6,202,25,5,Agile,Mixed,High
CRM System,3,178,33,6,Waterfall,Junior,High
E-Commerce Platform,2,182,25,6,Kanban,Mixed,High
AI / ML Project,4,236,18,5,Hybrid,Senior,Medium
Cloud Migration,3,158,18,3,Waterfall,Senior,Medium
E-Commerce Platform,9,388,4,8,Hybrid,Junior,High
AI / ML Project,11,103,3,4,Waterfall,Senior,Medium
CRM System,4,148,12,7,Hybrid,Junior,Medium
AI / ML Project,3,37,5,8,Hybrid,Junior,High
Data Analytics Platform,7,79,20,7,Kanban,Mixed,Medium
ERP Implementation,12,38,25,7,Waterfall,Senior,Medium
Web Application,16,78,6,8,Hybrid,Mixed,Medium
Web Application,13,132,30,10,Kanban,Mixed,Medium
ERP Implementation,5,140,23,7,Waterfall,Mixed,High
IoT Development,14,239,35,9,Scrum,Junior,High
Data Analytics Platform,25,387,8,9,Agile,Senior,Medium
IoT Development,5,46,18,7,Kanban,Senior,Medium
Cloud Migration,9,36,21,7,Agile,Mixed,Medium
CRM System,22,444,17,5,Hybrid,Senior,Medium
IoT Development,6,78,33,6,Waterfall,Mixed,High
Mobile App,9,87,36,6,Agile,Junior,Medium
E-Commerce Platform,7,324,17,6,Kanban,Mixed,Medium
Mobile App,28,71,1,8,Scrum,Junior,Medium
Cloud Migration,2,164,7,7,Kanban,Junior,Medium
CRM System,6,129,17,7,Hybrid,Senior,Low
Cloud Migration,12,691,16,2,Kanban,Mixed,Medium
IoT Development,7,128,7,11,Waterfall,Senior,Medium
Data Analytics Platform,9,119,19,3,Scrum,Junior,Medium
AI / ML Project,25,131,15,9,Kanban,Mixed,High
AI / ML Project,12,539,33,8,Agile,Senior,High
Mobile App,6,193,36,11,Scrum,Senior,Low
Cloud Migration,7,18,7,3,Scrum,Junior,Low
ERP Implementation,8,222,24,4,Waterfall,Junior,High
Cloud Migration,7,106,17,6,Scrum,Junior,Medium
Mobile App,3,206,20,9,Agile,Senior,Medium
ERP Implementation,5,37,19,6,Scrum,Mixed,Medium
IoT Development,21,29,12,12,Kanban,Mixed,High
AI / ML Project,6,90,29,5,Agile,Mixed,High
Mobile App,8,97,20,9,Scrum,Senior,Low
E-Commerce Platform,7,117,36,1,Hybrid,Junior,Medium
IoT Development,6,56,2,9,Agile,Mixed,Medium
CRM System,19,108,30,6,Agile,Mixed,Medium
Mobile App,6,52,3,5,Hybrid,Senior,Low
IoT Development,2,261,8,6,Waterfall,Mixed,High
Cloud Migration,7,250,1,10,Agile,Junior,Medium
CRM System,10,505,9,5,Waterfall,Senior,Medium
Data Analytics Platform,12,168,21,5,Kanban,Junior,Medium
Web Application,11,170,22,3,Hybrid,Junior,Medium
ERP Implementation,11,68,8,6,Kanban,Junior,Medium
Mobile App,7,283,32,9,Kanban,Junior,Medium
AI / ML Project,3,617,18,4,Agile,Junior,High
IoT Development,12,191,25,8,Agile,Senior,Medium
Web Application,7,178,30,3,Hybrid,Junior,Medium
ERP Implementation,3,205,28,4,Kanban,Mixed,High
ERP Implementation,15,115,9,7,Waterfall,Senior,Medium
Web Application,20,295,15,5,Agile,Junior,High
IoT Development,5,51,27,8,Agile,Senior,Medium
IoT Development,6,14,28,9,Waterfall,Junior,High
Cloud Migration,10,253,15,3,Waterfall,Junior,High
E-Commerce Platform,28,500,25,8,Kanban,Junior,High
Mobile App,8,54,15,6,Scrum,Mixed,Low
IoT Development,25,181,26,6,Kanban,Senior,High
Mobile App,10,115,31,10,Scrum,Senior,Medium
Data Analytics Platform,7,303,12,6,Kanban,Junior,Medium
Cybersecurity Solution,26,27,13,7,Hybrid,Mixed,High
Web Application,3,414,10,4,Waterfall,Mixed,High
E-Commerce Platform,6,177,1,3,Scrum,Senior,Low
Mobile App,2,96,31,6,Scrum,Senior,Medium
CRM System,8,157,1,5,Waterfall,Junior,Medium
IoT Development,8,112,21,5,Kanban,Junior,High
Mobile App,8,231,20,6,Agile,Mixed,Medium
AI / ML Project,20,111,2,8,Kanban,Senior,Medium
IoT Development,27,147,24,2,Scrum,Senior,Medium
Cybersecurity Solution,5,188,18,6,Hybrid,Mixed,Medium
Cybersecurity Solution,7,204,19,5,Kanban,Mixed,High
Mobile App,4,155,32,8,Waterfall,Senior,Medium
Cybersecurity Solution,7,364,8,10,Agile,Mixed,Medium
CRM System,11,36,31,6,Agile,Mixed,Medium
IoT Development,8,421,34,5,Scrum,Mixed,Medium
E-Commerce Platform,15,39,22,4,Waterfall,Mixed,Medium
E-Commerce Platform,5,60,19,8,Hybrid,Senior,Medium
Cloud Migration,3,53,25,7,Hybrid,Junior,High
CRM System,2,31,26,7,Waterfall,Junior,High
Mobile App,3,414,10,6,Waterfall,Mixed,High
Mobile App,18,857,34,3,Hybrid,Junior,High
Cybersecurity Solution,22,202,34,6,Waterfall,Senior,High
Cybersecurity Solution,12,252,25,4,Kanban,Mixed,High
Mobile App,13,282,30,6,Scrum,Mixed,Medium
E-Commerce Platform,8,2000,13,6,Waterfall,Mixed,High
AI / ML Project,3,102,5,8,Hybrid,Mixed,High
Mobile App,29,65,11,6,Kanban,Senior,Medium
Data Analytics Platform,14,491,35,6,Agile,Senior,Medium
CRM System,3,438,9,6,Agile,Junior,High
IoT Development,27,108,26,6,Kanban,Mixed,High
